Word,Count
nation,5
dedicated,4
people,3
dead,3
living,2
devotion,2
dedicate,2
conceived,2
vain,1
unfinished,1
testing,1
task,1
struggled,1
sense,1
score,1
resolve,1
remember,1
remaining,1
proposition,1
proper,1
power,1
portion,1
perish,1
nobly,1
measure,1
lives,1
live,1
liberty,1
larger,1
increased,1
honored,1
highly,1
hallow,1
ground,1
government,1
god,1
freedom,1
fought,1
forget,1
fitting,1
final,1
field,1
fathers,1
equal,1
engaged,1
endure,1
earth,1
died,1
detract,1
created,1
continent,1
consecrated,1
consecrate,1
civil,1
brought,1
brave,1
birth,1
battle-field,1
altogether,1
ago,1
advanced,1
